dimension,key,count,true_positives,precision_bp,recall_bp
bucket,HIGH,104,104,10000,8594
bucket,MEDIUM,16,16,10000,1406
bucket,LOW,53,0,0,0
bucket,ALL,173,120,6936,10000
format,docm,8,8,10000,156
format,docx,8,8,10000,156
format,gif,8,8,10000,156
format,jpg,45,24,5333,3750
format,mp4,8,8,10000,156
format,pdf,16,8,5000,156
format,png,32,16,5000,2500
format,sqlite,16,16,10000,312
format,tiff,8,0,0,0
format,xlsx,8,8,10000,156
format,zip,16,16,10000,2500
source,signature,16,8,5000,156
source,structure,157,112,7134,9844
validation,corrupt,45,0,0,0
validation,decoder_unavailable,16,16,10000,1406
validation,truncated,8,0,0,0
validation,valid,104,104,10000,8594
