dimension,key,count,true_positives,precision_bp,recall_bp
bucket,HIGH,13,13,10000,8667
bucket,MEDIUM,2,2,10000,1333
bucket,LOW,18,0,0,0
bucket,ALL,33,15,4545,10000
format,docm,1,1,10000,667
format,docx,1,1,10000,667
format,gif,1,1,10000,667
format,jpg,5,3,6000,2000
format,mp4,1,1,10000,667
format,pdf,2,1,5000,667
format,png,4,2,5000,1333
format,sqlite,2,2,10000,1333
format,tiff,2,0,0,0
format,xlsx,1,1,10000,667
format,zip,13,2,1538,1333
source,signature,3,1,3333,667
source,structure,30,14,4667,9333
validation,corrupt,17,0,0,0
validation,decoder_unavailable,2,2,10000,1333
validation,truncated,1,0,0,0
validation,valid,13,13,10000,8667
